"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"GAS","STATE GAS LIMITED","2017-10-10","Energy",68347760
"GBE","GLOBE METALS & MINING LIMITED","2005-12-08","Materials",53581073
"GBR","GREAT BOULDER RESOURCES LIMITED","2016-11-18","Materials",29842767
"GBZ","GBM RESOURCES LIMITED","2007-10-24","Materials",50233070
"GC1","GLENNON SMALL COMPANIES LIMITED","2015-08-21","Not Applic",41884702
"GCI","GRYPHON CAPITAL INCOME TRUST","2018-05-25","Not Applic",483573391
"GCR","GOLDEN CROSS RESOURCES LTD","1996-03-27","Materials","N/A"
"GCY","GASCOYNE RESOURCES LIMITED","2009-12-11","Materials",81528892
"GDA","GOOD DRINKS AUSTRALIA LTD","2006-12-13","Food, Beverage & Tobacco",113756915
"GDC","GLOBAL DATA CENTRE GROUP","2019-10-31","Not Applic",124017672
"GDF","GARDA PROPERTY GROUP","2015-07-02","Real Estate",327807880
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","2007-12-11","Insurance",209793695
"GDI","GDI PROPERTY GROUP","2013-12-17","Real Estate",634125768
"GED","GOLDEN DEEPS LIMITED.","1986-12-04","Materials",8534366
"GEM","G8 EDUCATION LIMITED","2007-12-05","Consumer Services",860101170
"GEN","GENMIN LIMITED","2021-03-10","Materials",80651766
"GES","GENESIS RESOURCES LIMITED","2009-10-27","Materials",9394096
"GEV","GLOBAL ENERGY VENTURES LIMITED","2005-03-21","Energy",32459061
"GFL","GLOBAL MASTERS FUND LIMITED","2006-05-16","Not Applic",26271740
"GFN","GEFEN INTERNATIONAL A.I. LTD","2021-07-21","Retailing",112588235
"GGE","GRAND GULF ENERGY LIMITED","1998-03-20","Energy","N/A"
"GGG","GREENLAND MINERALS LIMITED","2006-06-20","Materials",147848508
"GGX","GAS2GRID LIMITED","2005-05-13","Energy",8178204
"GIB","GIBB RIVER DIAMONDS LIMITED","2008-07-01","Materials",13325095
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","2021-05-06","Materials",48110044
"GLA","GLADIATOR RESOURCES LIMITED","2006-06-27","Materials",12457757
"GLB","GLOBE INTERNATIONAL LIMITED","2001-05-24","Consumer Durables & Apparel",280295410
"GLE","GLG CORP LTD","2005-12-14","Consumer Durables & Apparel",19266000
"GLH","GLOBAL HEALTH LIMITED","2000-04-04","Health Care Equipment & Services",28283863
"GLL","GALILEE ENERGY LIMITED","1996-02-15","Energy",146153975
"GLN","GALAN LITHIUM LIMITED","2011-06-08","Materials",275315961
"GLV","GLOBAL OIL & GAS LIMITED","2005-05-25","Energy",13745854
"GMA","GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED","2014-05-20","Banks",919906630
"GMC","GULF MANGANESE CORPORATION LIMITED","2007-08-03","Materials","N/A"
"GMD","GENESIS MINERALS LIMITED","2007-08-02","Materials",159475338
"GME","GME RESOURCES LIMITED","1980-08-21","Materials",35639446
"GMG","GOODMAN GROUP","2005-02-02","Real Estate",42894391103
"GML","GATEWAY MINING LIMITED","1971-08-02","Materials",32361805
"GMN","GOLD MOUNTAIN LIMITED","2011-09-02","Materials",22473133
"GMR","GOLDEN RIM RESOURCES LTD","1987-08-13","Materials",18692448
"GNC","GRAINCORP LIMITED","1998-03-30","Food & Staples Retailing",1434924788
"GNE","GENESIS ENERGY LIMITED","2014-04-17","Utilities",3433340862
"GNG","GR ENGINEERING SERVICES LIMITED","2011-04-19","Materials",304070511
"GNM","GREAT NORTHERN MINERALS LIMITED","2008-03-05","Materials",12090510
"GNP","GENUSPLUS GROUP LTD","2020-12-14","Capital Goods",161035613
"GNX","GENEX POWER LIMITED","2015-07-08","Utilities",240727510
"GO2","THE GO2 PEOPLE LTD","2017-10-31","Commercial & Professional Services",12239019
"GOR","GOLD ROAD RESOURCES LIMITED","2006-07-04","Materials",1140740426
"GOW","GOWING BROS LIMITED","1962-07-31","Diversified Financials",161806617
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","2007-07-04","Real Estate",3280457683
"GPR","GEOPACIFIC RESOURCES LTD","2006-05-09","Materials",166158927
"GPS","GPS ALLIANCE HOLDINGS LIMITED","2013-07-02","Real Estate",4836306
"GPT","GPT GROUP","1971-04-01","Real Estate",9348017858
"GRL","GODOLPHIN RESOURCES LIMITED","2019-12-18","Materials",13878376
"GRR","GRANGE RESOURCES LIMITED.","1986-03-27","Materials",700189912
"GRV","GREENVALE MINING LTD","1971-07-28","Energy",174655723
"GSM","GOLDEN STATE MINING LIMITED","2018-11-08","Materials",10343545
"GSN","GREAT SOUTHERN MINING LIMITED","2011-04-14","Materials",26547172
"GSS","GENETIC SIGNATURES LIMITED","2015-03-31","Pharmaceuticals, Biotechnology & Life Sciences",212217260
"GTE","GREAT WESTERN EXPLORATION LIMITED.","2007-06-05","Materials",27920614
"GTG","GENETIC TECHNOLOGIES LIMITED","1987-07-30","Pharmaceuticals, Biotechnology & Life Sciences",64582631
"GTI","GRATIFII LIMITED","2008-07-17","Software & Services",16481477
"GTK","GENTRACK GROUP LIMITED","2014-06-25","Software & Services",186515704
"GTN","GTN LIMITED","2016-06-01","Media & Entertainment",101181149
"GTR","GTI RESOURCES LIMITED","2007-08-10","Materials",16369878
"GUD","G.U.D. HOLDINGS LIMITED","1962-06-30","Automobiles & Components",997377288
"GUL","GULLEWA LIMITED","1980-06-19","Materials",17323952
"GVF","GLOBAL VALUE FUND LIMITED","2014-07-21","Not Applic",211921865
"GW1","GREENWING RESOURCES LTD","2005-10-20","Materials",24578621
"GWA","GWA GROUP LIMITED.","1993-05-20","Capital Goods",745226368
"GWR","GWR GROUP LIMITED","2004-12-24","Materials",59043356
"HAS","HASTINGS TECHNOLOGY METALS LTD","2008-02-20","Materials",365075606
"HAV","HAVILAH RESOURCES LIMITED","2002-03-21","Materials",59724059
"HAW","HAWTHORN RESOURCES LIMITED","1986-07-03","Materials",18343359
"HCD","HYDROCARBON DYNAMICS LIMITED","2006-04-21","Energy",6604352
"HCH","HOT CHILI LIMITED","2010-05-03","Materials",177340439
"HCT","HOLISTA COLLTECH LIMITED","2004-02-26","Household & Personal Products",15970247
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT",,"Class Pend",0
"HDN","HOMECO DAILY NEEDS REIT","2020-11-23","Real Estate",1169937231
"HE8","HELIOS ENERGY LTD","2010-10-20","Energy",235837561
"HFR","HIGHFIELD RESOURCES LIMITED","2012-02-07","Materials",186392089
"HFY","HUBIFY LIMITED","2017-01-12","Telecommunication Services",37842495
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","2018-11-01","Banks",1230399167
"HGL","HUDSON INVESTMENT GROUP LIMITED","1994-06-09","Real Estate",15730383
"HGM","HIGH GRADE METALS LIMITED","1995-02-13","Materials","N/A"
"HGO","HILLGROVE RESOURCES LIMITED","1994-07-22","Materials",56218163
"HHI","HEALTH HOUSE INTERNATIONAL LIMITED","2011-07-28","Health Care Equipment & Services",17023164
"HHM","HAMPTON HILL MINING NL","1994-05-10","Materials","N/A"
"HHR","HARTSHEAD RESOURCES NL","2012-02-14","Energy",46244303
"HHY","HHY FUND","2005-04-11","Not Applic","N/A"
"HIL","HILLS LIMITED","1962-06-30","Technology Hardware & Equipment",30158118
"HIO","HAWSONS IRON LTD","2007-11-14","Materials",62035607
"HIQ","HITIQ LIMITED","2021-06-16","Health Care Equipment & Services",22511233
"HIT","HITECH GROUP AUSTRALIA LIMITED","2000-04-17","Commercial & Professional Services",87750000
"HLA","HEALTHIA LIMITED","2018-09-11","Health Care Equipment & Services",179508812
"HLO","HELLOWORLD TRAVEL LIMITED","2000-09-13","Consumer Services",284476096
"HLS","HEALIUS LIMITED","1998-07-03","Health Care Equipment & Services",3121882828
"HLX","HELIX RESOURCES LIMITED","1986-05-22","Materials",23911106
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","2018-11-14","Not Applic",994548799
"HMC","HOME CONSORTIUM","2019-10-14","Real Estate",1892536635
